"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 12:36:45 PM","17##","MOHAWK","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 02:00:58 PM","4##","GLENGARRY","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 10:05:42 AM","22##","BETHLEHEM","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 10:28:33 AM","9##","TECUMSEH","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 10:43:00 AM","15##","PILLETTE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 11:17:33 AM","8##","PILLETTE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 01:10:17 PM","19##","MANITOBA","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 14, 2020 03:01:20 PM","4##","LOGAN","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 14, 2020 03:17:12 PM","22##","HOWARD","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 13, 2020 01:36:11 PM","28##","LIONEL","WARD 10"," "
"Garbage Not Collected","Environmental Services","Web Intake","JAN 13, 2020 06:41:46 PM"," "," ","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 14, 2020 12:05:39 PM","42##","TUMBLEWEED","WARD 1"," "
"Garbage Not Collected","Environmental Services","Web Intake","FEB 28, 2020 10:27:15 PM"," "," ","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 02, 2020 08:05:09 AM","9##","EASTLAWN","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 27, 2020 12:41:35 PM","34##","HUNTINGTON","WARD 9"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 08:10:02 AM","6##","CATARAQUI","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 02:14:18 PM","21##","ONTARIO","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 29, 2020 03:00:00 PM","12##","HALL","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 02:41:24 PM","12##","JANETTE","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 03:51:16 PM","19##","ELLROSE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 12:44:15 PM","8##","PILLETTE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 10:31:35 AM","8##","PIERRE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 10:37:18 AM","8##","MARION","WARD 4"," "
"Garbage Not Collected","Environmental Services","E-Mail","JAN 15, 2020 10:57:41 AM","4##","LOGAN","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 11:08:37 AM","14##","GLADSTONE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 15, 2020 02:53:06 PM","15##","ELLROSE","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 25, 2020 09:44:56 AM","2##","VILLAIRE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 26, 2020 04:14:30 PM","12##","KILDARE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 27, 2020 04:18:57 PM","11##","MARION","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 28, 2020 01:04:52 PM","73##","ST ROSE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 13, 2020 09:28:30 AM","42##","FRANKLIN","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 12, 2020 11:22:10 AM","45##","TIMBER","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 12, 2020 02:29:48 PM","23##","CADILLAC","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 12, 2020 04:59:21 PM","23##","CADILLAC","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 13, 2020 01:06:19 PM","25##","RIVARD","WARD 8"," "
"Garbage Not Collected","Environmental Services","Web Intake","APR 21, 2020 05:53:38 PM"," "," ","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 22, 2020 09:19:33 AM","27##","CHANDLER","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 23, 2020 12:16:28 PM","28##","WESTMINSTER","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 23, 2020 12:36:42 PM","29##","SCOTIA","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 23, 2020 03:56:28 PM","18##","WESTMINSTER","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 24, 2020 11:49:07 AM","11##","EASTLAWN","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 24, 2020 12:05:08 PM","2##","LINCOLN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","APR 28, 2020 04:01:44 PM","6##","CHARLES","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAR 23, 2020 08:16:05 AM","22##","RANDOLPH","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","APR 02, 2020 09:39:29 AM","19##","BERNARD","WARD 5"," "
"Garbage Not Collected","Environmental Services","Phone","APR 02, 2020 01:15:54 PM","85##","FOXHILL","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","APR 02, 2020 03:06:01 PM","95##","MENARD","WARD 7"," "
"Garbage Not Collected","Environmental Services","Phone","APR 03, 2020 09:07:17 AM","16##","BALFOUR","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","APR 03, 2020 11:10:53 AM","9##","LINCOLN","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 10:39:24 AM","23##","MERCER","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 10:56:00 AM","6##","BENSETTE","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 21, 2020 02:52:30 PM","8##","HILDEGARDE","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 22, 2020 08:57:04 AM","9##","WALKER","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 19, 2020 09:55:40 AM","17##","MARK","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","MAY 15, 2020 11:19:03 AM","9##","PELISSIER","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","FEB 03, 2020 02:18:39 PM","31##","AVONDALE","WARD 1"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 30, 2020 01:37:44 PM","86##","RIVERSIDE","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 30, 2020 02:13:35 PM","2##","GLADSTONE","WARD 4"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 31, 2020 10:08:52 AM","11##","EDWARD","WARD 6"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 31, 2020 12:45:03 PM","31##","MEADOWBROOK","WARD 8"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 21, 2020 11:55:15 AM","15##","ST PATRICK'S","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 21, 2020 04:16:48 PM","4##","LOGAN","WARD 3"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 09:29:32 AM","18##","HARTFORD","WARD 10"," "
"Garbage Not Collected","Environmental Services","Phone","JAN 22, 2020 11:04:04 AM","16##","MERIDIAN","WARD 9"," "
